HR,TIMESTAMP
52,1656028680
67.5,
65.33,
61.75,
61,
61.5,
61.57,
63,
64.11,
65,
66,
66.83,
67.92,
68.86,
69.6,
70.19,
70.76,
71.22,
71.68,
72.15,
72.52,
72.91,
73.22,
73.5,
73.96,
74.38,
74.7,
74.96,
75.31,
75.67,
76,
76.72,
77.39,
78,
78.6,
79.14,
79.68,
80.21,
80.72,
81.18,
81.61,
82.02,
82.79,
83.5,
84.2,
84.98,
85.7,
86.38,
87.02,
87.68,
88.33,
88.96,
89.58,
90.17,
90.84,
91.45,
92.02,
92.55,
93.07,
93.57,
94.62,
95.12,
95.98,
97.05,
98,
98.85,
99.77,
100.42,
101.05,
101.65,
102.23,
102.82,
103.33,
103.85,
104.38,
104.97,
105.53,
106.12,
106.63,
107.17,
107.67,
108.13,
108.6,
109.03,
109.45,
109.9,
110.63,
111.42,
112.08,
112.7,
113.3,
113.68,
114.05,
114.45,
114.82,
115.07,
115.3,
115.5,
115.65,
115.78,
115.75,
115.67,
115.33,
115.02,
114.65,
114.18,
113.75,
113.28,
112.82,
112.3,
111.77,
111.18,
110.58,
110.02,
109.33,
108.68,
108.05,
107.43,
106.83,
106.28,
105.83,
105.42,
104.98,
104.55,
104.07,
103.58,
103.03,
102.57,
102.08,
101.63,
101.12,
100.58,
100.03,
99.48,
98.9,
98.25,
97.62,
96.98,
96.4,
95.78,
95.23,
94.73,
94.28,
93.85,
93.35,
92.8,
91.98,
91.2,
90.47,
89.78,
89.15,
88.52,
87.93,
87.33,
86.7,
86.18,
85.7,
85.23,
84.7,
84.17,
83.8,
83.47,
83.12,
82.78,
82.48,
82.23,
82,
81.82,
81.63,
81.47,
81.35,
81.28,
81.23,
81.13,
81.07,
81,
80.92,
80.83,
80.72,
80.55,
80.4,
80.23,
80.08,
79.85,
79.67,
79.5,
79.38,
79.27,
79.23,
79.2,
79.22,
79.23,
79.3,
79.35,
79.43,
79.55,
79.67,
79.77,
79.95,
80.1,
80.25,
80.38,
80.53,
80.72,
80.92,
81.1,
81.32,
81.53,
81.78,
82.02,
82.2,
82.53,
82.85,
83.15,
83.52,
83.9,
84.23,
84.58,
85.05,
85.55,
86.05,
86.57,
87.12,
87.67,
88.17,
88.63,
89.07,
89.5,
89.93,
90.35,
90.7,
91.08,
91.52,
92.02,
92.53,
93.07,
93.65,
94.18,
94.58,
94.95,
95.35,
95.75,
96.13,
96.5,
96.87,
97.22,
97.52,
97.82,
98.03,
98.22,
98.37,
98.53,
98.63,
98.7,
98.77,
98.85,
98.92,
99,
99.03,
99.12,
99.18,
99.23,
99.23,
99.22,
99.18,
99.22,
99.23,
99.17,
99.12,
99.1,
99.07,
98.88,
98.68,
98.52,
98.33,
98.15,
98,
97.83,
97.67,
97.5,
97.32,
97.13,
96.92,
96.65,
96.43,
96.22,
96,
95.78,
95.62,
95.47,
95.32,
95.13,
94.87,
94.58,
94.23,
93.85,
93.45,
93.12,
92.95,
92.82,
92.65,
92.47,
92.28,
92.17,
92.05,
91.88,
91.75,
91.6,
91.42,
91.27,
91.12,
90.97,
90.82,
90.77,
90.75,
90.67,
90.58,
90.5,
90.32,
90.12,
89.92,
