,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,peak_end_times_stamp,AUC
2022-09-01 01:01:07.750,4.105064,1.5,0.3896592418385829,0.21056199999999992,0.5,1.75,1661994068.25,0.36848349999999985
2022-09-01 01:01:10.750,4.378476999999999,1.375,0.7893529244278028,0.33556149999999985,0.625,1.875,1661994071.375,0.6291778124999997
2022-09-01 01:01:27.875,4.267803,1.625,0.9538226233015763,0.6650510000000001,1.125,2.25,1661994089.0,1.4963647500000001
2022-09-01 01:01:33.250,3.999989,1.875,0.5689039174410127,0.40300299999999956,1.0,2.25,1661994094.25,0.906756749999999
2022-09-01 01:01:47.250,4.130692,1.125,0.42980757531190505,0.06599250000000012,0.125,1.25,1661994107.375,0.08249062500000015
2022-09-01 01:01:51.750,3.687325,2.375,0.2197509185898916,0.15184700000000007,,,1661994112.75,
2022-09-01 01:01:53.875,3.7686945,1.125,0.2849723079610378,0.048052500000000276,0.25,1.375,1661994114.125,0.06607218750000038
2022-09-01 01:01:58.000,3.967953,1.25,0.6806750620088806,0.27806500000000023,0.5,1.625,1661994118.5,0.45185562500000037
2022-09-01 01:02:02.000,3.877844,1.375,0.6583663749498356,0.33829249999999966,0.5,1.625,1661994122.5,0.5497253124999995
2022-09-01 01:02:05.000,3.639502,1.125,0.37820496251530855,0.0973875000000004,0.25,1.25,1661994125.25,0.1217343750000005
2022-09-01 01:02:15.625,3.4722775,1.125,0.3326813481008699,0.10800449999999984,0.375,1.375,1661994136.0,0.14850618749999978
2022-09-01 01:02:30.750,3.5087980000000005,2.0,0.18700095564468455,0.1781160000000006,0.75,2.5,1661994151.5,0.4452900000000015
2022-09-01 01:02:35.125,3.5491625,1.75,0.3183538901196741,0.21655799999999958,1.0,2.25,1661994156.125,0.48725549999999906
2022-09-01 01:02:46.375,3.8688735000000003,1.125,0.343254308644795,0.0948235000000004,0.75,1.75,1661994167.125,0.1659411250000007
2022-09-01 01:02:54.375,3.617077,1.5,0.22104576607789284,0.1230150000000001,0.75,1.875,1661994175.125,0.23065312500000018
2022-09-01 01:03:14.625,4.09225,1.5,0.6644813361193798,0.46107750000000003,1.25,2.375,1661994195.875,1.0950590625
2022-09-01 01:03:18.625,3.8199505,1.25,0.17093244228263416,0.0666329999999995,0.5,1.625,1661994199.125,0.10827862499999918
2022-09-01 01:03:22.000,4.055089,1.625,0.5080993383228929,0.32035199999999975,2.5,3.75,1661994204.5,1.201319999999999
2022-09-01 01:03:26.250,4.103783,1.5,0.4822178656147571,0.18067900000000003,0.875,2.125,1661994207.125,0.3839428750000001
2022-09-01 01:03:37.375,4.1998885,1.0,0.4631087233740061,0.06727399999999939,0.25,1.25,1661994217.625,0.08409249999999924
2022-09-01 01:03:50.000,3.930793,1.5,0.48662973448047,0.24346800000000002,0.75,2.125,1661994230.75,0.5173695
2022-09-01 01:03:56.875,4.153758,2.875,0.34396339748536064,0.5651009999999999,1.375,3.625,1661994238.25,2.0484911249999995
2022-09-01 01:04:01.000,4.0448379999999995,1.25,0.3642376980360318,0.1319849999999998,0.375,1.5,1661994241.375,0.1979774999999997
2022-09-01 01:04:06.000,4.284461,1.375,0.8343729433981721,0.4632290000000001,0.75,1.875,1661994246.75,0.8685543750000002
2022-09-01 01:04:10.750,4.040994,1.25,0.45152124951178507,0.16402099999999997,0.375,1.5,1661994251.125,0.24603149999999996
2022-09-01 01:04:16.375,4.102501500000001,1.375,0.12105551974197937,0.06150750000000027,0.5,1.625,1661994256.875,0.09994968750000044
2022-09-01 01:04:23.750,4.057652,1.5,0.24171327453187885,0.12045200000000023,,,1661994264.75,
2022-09-01 01:04:25.750,4.1204410000000005,1.0,0.23606182155140942,0.042285999999999824,0.375,1.375,1661994266.125,0.05814324999999976
2022-09-01 01:04:29.875,4.124285,1.625,0.08221648798570413,0.04484900000000014,0.625,1.625,1661994270.5,0.07287962500000023
2022-09-01 01:04:35.625,4.240253,1.375,0.552153215578663,0.26589300000000016,0.75,2.0,1661994276.375,0.5317860000000003
2022-09-01 01:04:40.250,4.171697,1.0,0.22277473869797149,0.0486930000000001,0.375,1.375,1661994280.625,0.06695287500000013
2022-09-01 01:04:54.250,4.015366,2.625,0.17733892603349943,0.09866900000000012,0.125,2.625,1661994294.375,0.2590061250000003
2022-09-01 01:04:58.750,4.352849,2.375,0.2905824953760785,0.24458149999999979,,,1661994299.875,
2022-09-01 01:05:01.250,4.4463919999999995,1.375,0.3120144560582503,0.11340499999999842,,,1661994304.875,
2022-09-01 01:05:06.625,4.808389999999999,1.75,0.12687338166256268,0.11468649999999947,1.0,2.375,1661994307.625,0.27238043749999874
2022-09-01 01:05:17.875,6.097296,1.25,0.4404868832501947,0.17398050000000076,0.625,1.75,1661994318.5,0.30446587500000133
2022-09-01 01:05:20.000,6.265161,1.0,0.4170671324362516,0.09866900000000012,2.125,3.0,1661994322.125,0.29600700000000035
2022-09-01 01:05:49.750,6.683764999999999,1.0,0.7066339957879464,0.18195999999999923,0.5,1.375,1661994350.25,0.25019499999999895
2022-09-01 01:05:53.000,6.476177,1.0,0.3158505452720277,0.05894499999999958,0.25,1.125,1661994353.25,0.06631312499999953
2022-09-01 01:06:12.625,5.968514,1.125,0.34458526192572947,0.1185299999999998,0.375,1.375,1661994373.0,0.16297874999999973
2022-09-01 01:06:30.250,5.129931,1.75,0.1668941443127565,0.10763799999999968,0.25,1.375,1661994390.5,0.14800224999999956
2022-09-01 01:07:13.500,4.817268,1.25,0.2739275206862857,0.08585500000000046,0.5,1.75,1661994434.0,0.1502462500000008
2022-09-01 01:07:18.250,5.017168,1.0,0.1825996907668639,0.04613099999999992,0.5,1.5,1661994438.75,0.06919649999999988
2022-09-01 01:07:29.125,5.267682499999999,1.375,0.21521957052315344,0.1249374999999997,0.75,1.875,1661994449.875,0.23425781249999944
2022-09-01 01:07:35.250,5.388328,2.125,0.12966777194755252,0.17702699999999894,,,1661994456.5,
2022-09-01 01:07:38.500,5.369107,2.0,0.12161209832764541,0.05894499999999958,0.25,1.5,1661994458.75,0.08841749999999937
2022-09-01 01:07:47.125,5.145949,3.0,0.19129343117598552,0.19925899999999963,1.625,3.875,1661994468.75,0.7721286249999986
2022-09-01 01:07:50.875,5.0408735,1.125,0.5398800422591066,0.0326765,0.25,1.125,1661994471.125,0.0367610625
2022-09-01 01:08:05.125,4.814064,1.0,0.4876543176705397,0.08905750000000001,0.625,1.5,1661994485.75,0.13358625000000002
2022-09-01 01:08:07.875,5.103021999999999,1.375,0.47610292277669686,0.26268899999999906,,,1661994490.5,
2022-09-01 01:08:18.000,5.258072,1.25,0.21635448037396543,0.07688400000000062,0.25,1.375,1661994498.25,0.10571550000000085
2022-09-01 01:08:31.000,4.715487,1.625,0.4714854415960801,0.16530100000000036,0.375,1.875,1661994511.375,0.3099393750000007
2022-09-01 01:08:50.250,3.530582,1.75,0.4036259875182999,0.15120599999999973,0.5,1.625,1661994530.75,0.24570974999999956
2022-09-01 01:08:52.625,3.6151549999999997,1.125,0.37678467524972703,0.13711099999999954,0.75,1.75,1661994533.375,0.2399442499999992
