HR,TIMESTAMP
73,1661907671
66.5,
67.67,
75.25,
85,
83,
81.43,
81.12,
80.78,
80.5,
80,
79.5,
78.92,
78.43,
78.53,
79.25,
79.88,
80.56,
81.16,
82,
82.67,
83.27,
83.83,
84.38,
84.88,
85.27,
85.7,
85.43,
85.24,
84.83,
84.45,
84.16,
83.88,
83.62,
83.37,
83.14,
82.95,
82.39,
81.74,
82.88,
83.93,
84.86,
85.7,
86.3,
86.8,
87.24,
87.74,
88.23,
88.71,
89.16,
89.61,
90.08,
90.49,
90.94,
91.4,
91.84,
92.07,
92.26,
92.46,
92.4,
92.78,
93.5,
94.05,
94.18,
93.9,
94.43,
95.02,
95.43,
96.03,
96.75,
97.67,
98.6,
99.57,
100.52,
101.32,
101.95,
102.58,
103.18,
103.78,
104.27,
104.8,
105.33,
105.87,
106.37,
106.85,
107.35,
107.8,
108.58,
109.35,
110.23,
111.15,
112.03,
112.92,
113.78,
114.68,
115.57,
116.42,
117.48,
118.6,
118.53,
118.48,
118.47,
118.37,
118.43,
118.57,
118.73,
118.85,
118.98,
119.1,
119.25,
119.38,
119.5,
119.67,
119.8,
119.97,
120.22,
120.63,
121.08,
121.52,
122.2,
122.77,
123.2,
123.65,
124.03,
124.4,
124.8,
125.15,
125.55,
125.78,
125.9,
125.87,
125.82,
125.78,
125.77,
125.77,
125.77,
125.77,
125.78,
125.8,
125.83,
125.87,
125.92,
125.97,
126.07,
126.12,
126.17,
126.23,
126.3,
126.32,
126.32,
126.3,
126.32,
126.37,
126.43,
126.48,
126.68,
126.87,
127.05,
127.28,
127.53,
127.77,
128,
128.33,
128.65,
128.95,
129.23,
129.47,
129.65,
129.83,
130,
130.15,
130.28,
130.38,
130.5,
130.53,
130.47,
130.42,
130.38,
130.38,
130.33,
130.3,
130.3,
130.28,
130.3,
130.32,
130.32,
130.33,
130.4,
130.47,
130.5,
130.53,
130.58,
130.58,
130.58,
130.58,
130.57,
130.55,
130.5,
130.43,
130.33,
130.2,
130.07,
129.95,
129.72,
129.4,
129.08,
128.72,
128.32,
127.95,
127.55,
127.13,
126.57,
125.75,
124.98,
124.17,
123.18,
122.23,
121.15,
120.02,
118.78,
117.58,
116.42,
115.47,
114.55,
113.63,
112.7,
111.73,
110.8,
109.88,
108.95,
107.97,
107,
106,
105,
104.02,
103.07,
102.12,
101.18,
100.15,
99.17,
98.17,
97.17,
96,
94.83,
93.7,
92.53,
91.48,
90.38,
89.32,
88.28,
87.27,
86.25,
85.25,
84.42,
83.58,
82.7,
81.87,
81.05,
80.28,
79.57,
78.83,
78.03,
77.27,
76.53,
75.95,
75.4,
74.9,
74.4,
73.93,
73.52,
73.18,
72.97,
72.93,
72.82,
72.75,
72.73,
72.7,
72.8,
72.93,
73.17,
73.37,
73.58,
73.63,
73.6,
73.6,
73.62,
73.7,
73.82,
73.83,
73.85,
73.98,
74.12,
74.3,
74.43,
74.6,
74.7,
74.92,
75.07,
75.33,
75.57,
75.85,
76.1,
76.53,
76.98,
77.33,
77.68,
77.92,
78.15,
78.35,
78.6,
78.85,
79.08,
79.35,
79.4,
79.42,
79.47,
79.32,
79.25,
79.15,
78.97,
78.8,
78.67,
78.48,
78.57,
78.62,
78.65,
78.68,
78.73,
